Name,Length
ENSMUST00000363950,627
ENSMUST00000194240,4530
ENSMUST00000140079,5892
ENSMUST00000131494,5720
ENSMUST000000435783,5862
ENSMUST00000139756,435
ENSMUST00000131467,585
ENSMUST00000150761,4264
ENSMUST00000151281,3533
ENSMUST00000139838,792
ENSMUST00000163727,5604
ENSMUST00000132207,684
ENSMUST00000142304,445
ENSMUST00000151015,817
ENSMUST00000130338,720
ENSMUST00000195780,2915
ENSMUST00000194393,663
ENSMUST00000194605,626
ENSMUST00000191703,30
ENSMUST00000193423,325
ENSMUST00000191883,159
ENSMUST00000195648,641
ENSMUST00000242836,1339
ENSMUST000000612807,5232
ENSMUST00000182114,770
ENSMUST00000182306,419
ENSMUST00000182823,2659
ENSMUST00000182675,1153
ENSMUST00000182388,701
ENSMUST00000182892,4207
ENSMUST00000183204,3986
ENSMUST00000345485,531
ENSMUST00000182051,388
ENSMUST00000194854,4028
ENSMUST00000276481,327
ENSMUST00000029124,1299
ENSMUST00000195269,178
ENSMUST00000276695,435
ENSMUST00000104056,130
ENSMUST00000264292,906
ENSMUST00000264293,584
ENSMUST00000264299,773
ENSMUST00000264294,619
ENSMUST00000264295,634
ENSMUST00000264298,749
ENSMUST00000264297,644
ENSMUST00000264296,760
ENSMUST00000264300,627
ENSMUST00000181554,1318
ENSMUST00000264301,1378
ENSMUST00000264303,491
ENSMUST00000264302,510
ENSMUST00000264308,515
ENSMUST00000264307,589
ENSMUST00000193106,398
ENSMUST00000264304,813
ENSMUST00000264319,478
ENSMUST00000264317,364
ENSMUST00000264318,436
ENSMUST00000264316,535
ENSMUST00000264315,683
ENSMUST00000264314,373
ENSMUST00000264313,484
ENSMUST00000264309,567
ENSMUST00000264310,458
ENSMUST00000264311,561
ENSMUST00000264312,557
ENSMUST00000264305,456
ENSMUST00000264306,644
ENSMUST00000193732,631
ENSMUST00000193428,3608
ENSMUST00000264320,1280
ENSMUST00000264321,368
ENSMUST00000264322,505
ENSMUST00000264323,619
ENSMUST00000264324,477
ENSMUST00000264325,308
ENSMUST00000192649,1012
ENSMUST00000193998,1124
ENSMUST00000194886,2596
ENSMUST00000195081,286
ENSMUST00000194219,2095
ENSMUST00000194305,881
ENSMUST00000194872,1214
ENSMUST00000313004,1367
ENSMUST00000313001,1206
ENSMUST00000313002,1032
ENSMUST00000313003,1183
ENSMUST00000331959,364
ENSMUST00000332049,377
ENSMUST00000132064,4165
ENSMUST00000191683,4510
ENSMUST00000140295,4887
ENSMUST00000140302,4056
ENSMUST00000115484,1107
ENSMUST00000135046,578
ENSMUST00000115488,1554
ENSMUST00000144593,3497
ENSMUST00000134075,2944
ENSMUST00000194098,2113
ENSMUST00000126083,661
ENSMUST00000192338,2532
ENSMUST00000140995,400
ENSMUST00000258924,473
ENSMUST00000194602,3534
ENSMUST00020182074,110
ENSMUST00000193281,1164
ENSMUST00000119877,240
ENSMUST00000191876,198
ENSMUST00020182635,110
ENSMUST00000151704,340
ENSMUST00000192115,340
ENSMUST00000258609,554
ENSMUST00000258610,517
ENSMUST00000085919,626
ENSMUST00000193635,1050
ENSMUST00000195333,518
ENSMUST00000195180,3259
ENSMUST00000040649,960
ENSMUST00000332389,692
ENSMUST00000332387,725
ENSMUST00000332388,702
ENSMUST00000332390,752
ENSMUST00000192026,636
ENSMUST00000195217,1170
ENSMUST00000083691,103
ENSMUST00000290000,1183
ENSMUST00000290001,696
ENSMUST00000290005,525
ENSMUST00000290004,684
ENSMUST00000290003,629
ENSMUST00000290002,544
ENSMUST00000289995,666
ENSMUST00000290014,495
ENSMUST00000290013,586
ENSMUST00000290012,387
ENSMUST00000290020,327
ENSMUST00000290017,534
ENSMUST00000290021,365
ENSMUST00000290019,596
ENSMUST00000290018,604
ENSMUST00000290022,491
ENSMUST000001154800,2043
ENSMUST00000289996,614
ENSMUST00000290016,630
ENSMUST00000145176,733
ENSMUST00000289998,484
ENSMUST00000289997,765
ENSMUST00000289999,553
ENSMUST00000148585,3475
ENSMUST000001532390,618
ENSMUST00000290011,709
ENSMUST00000290010,688
ENSMUST00000290007,644
ENSMUST00000290006,1205
ENSMUST00000290009,965
ENSMUST00000290008,460
ENSMUST00000148310,563
ENSMUST00000290015,1696
ENSMUST00000192792,1406
ENSMUST00000072079,2048
ENSMUST00000144177,3239
ENSMUST000000270445,2022
ENSMUST00000130927,459
ENSMUST00000186467,466
ENSMUST00000190654,2021
ENSMUST00000121942,1102
ENSMUST00000088666,3256
ENSMUST00000191209,1067
ENSMUST000000886581,4980
ENSMUST00000115468,2493
ENSMUST00000160022,543
ENSMUST00000160451,695
ENSMUST00000188212,799
ENSMUST00000257005,662
ENSMUST00000257006,385
ENSMUST00000057438,9749
ENSMUST00000191287,865
ENSMUST00000181821,1996
ENSMUST00000289704,1214
ENSMUST00000289705,1248
ENSMUST00000181358,1343
ENSMUST00000289706,879
ENSMUST00000289753,511
ENSMUST00000289716,547
ENSMUST00000289718,635
ENSMUST00000289717,587
ENSMUST00000289713,575
ENSMUST00000289688,1232
ENSMUST00000289720,615
ENSMUST00000289694,1979
ENSMUST00000289721,463
ENSMUST00000209020,1314
ENSMUST00000289695,1983
ENSMUST00000289723,813
ENSMUST00000289696,1969
ENSMUST00000289726,758
ENSMUST00000289725,568
ENSMUST00000289722,447
ENSMUST00000289689,1121
ENSMUST00000289724,500
ENSMUST00000289697,2038
ENSMUST00000289701,1305
ENSMUST00000289707,945
ENSMUST00000289702,1257
ENSMUST00000289703,1266
ENSMUST00000289727,608
ENSMUST00000289709,809
ENSMUST00000289690,1110
ENSMUST00000289751,825
ENSMUST00000289728,582
ENSMUST00000289698,1942
ENSMUST00000189431,980
ENSMUST00000289710,795
ENSMUST00000207445,1149
ENSMUST00000289730,615
ENSMUST00000289729,604
ENSMUST00000289708,924
ENSMUST00000289692,373
ENSMUST00000289691,1030
ENSMUST00000289733,559
ENSMUST00000289731,376
ENSMUST00000289732,598
ENSMUST00000289711,787
ENSMUST00000289761,302
ENSMUST00000289752,574
ENSMUST00000289735,495
ENSMUST00000289734,449
ENSMUST00000289736,542
ENSMUST00000289714,648
ENSMUST00000289712,794
ENSMUST00000289737,573
ENSMUST00000289719,807
ENSMUST00000289739,462
ENSMUST00000289738,701
ENSMUST00000289699,2061
ENSMUST00000289742,439
ENSMUST00000289743,686
ENSMUST00000289744,711
ENSMUST00000289741,595
ENSMUST00000289715,804
ENSMUST00000289745,907
ENSMUST00000289746,753
ENSMUST00000289747,576
ENSMUST00000289740,533
ENSMUST00000289700,2096
ENSMUST00000289748,612
ENSMUST00000289749,1182
ENSMUST00000289750,379
ENSMUST00000289759,505
ENSMUST00000289760,541
ENSMUST00000289756,551
ENSMUST00000289767,285
ENSMUST00000289757,604
ENSMUST00000289693,901
ENSMUST00000289765,512
ENSMUST00000289764,1323
ENSMUST00000289766,396
ENSMUST00000189322,1246
ENSMUST00000246007,1072
ENSMUST00000289754,976
ENSMUST00000289755,517
ENSMUST00000289758,745
ENSMUST00000289762,1112
ENSMUST00000289763,359
ENSMUST00000290045,378
ENSMUST00000290046,588
ENSMUST00000166384,3706
ENSMUST00000188782,3762
ENSMUST00000168907,3779
ENSMUST00000188625,3415
ENSMUST00000188738,2803
ENSMUST00000188298,3099
ENSMUST00000171265,3680
ENSMUST00000188830,452
ENSMUST00000189050,737
ENSMUST00000097826,2728
ENSMUST00000191338,3595
ENSMUST00000188486,3748
ENSMUST00000063059,357
ENSMUST00020183231,105
ENSMUST00000247721,2253
ENSMUST00000332627,1449
ENSMUST00000332628,559
ENSMUST00000241346,2206
ENSMUST00000242700,850
ENSMUST00000182742,581
ENSMUST000001825800,642
ENSMUST000001824980,748
ENSMUST00000332630,513
ENSMUST00000240977,439
ENSMUST00000244407,960
ENSMUST00000246454,361
ENSMUST00000241153,694
ENSMUST000001820430,1946
ENSMUST00000246566,570
ENSMUST00000241190,1807
ENSMUST00000246943,1004
ENSMUST00000246859,490
ENSMUST00000182819,1820
ENSMUST00000243709,903
ENSMUST00000332629,525
ENSMUST00000243239,614
ENSMUST00000247623,542
ENSMUST00000332632,768
ENSMUST00000332637,303
ENSMUST00000332638,573
ENSMUST00000332639,298
ENSMUST00000245520,425
ENSMUST00000332641,420
ENSMUST00000332658,406
ENSMUST00000332657,651
ENSMUST00000332656,601
ENSMUST00000332651,792
ENSMUST00000332652,469
ENSMUST00000332653,413
ENSMUST00000332654,477
ENSMUST00000332644,652
ENSMUST00000332645,413
ENSMUST00000332646,550
ENSMUST00000332647,527
ENSMUST00000332648,483
ENSMUST00000332649,459
ENSMUST00000332650,420
ENSMUST00000244246,987
ENSMUST00000246216,1924
ENSMUST00000332642,403
ENSMUST00000332643,549
ENSMUST00000332640,470
ENSMUST00000332636,383
ENSMUST00000332635,347
ENSMUST00000332633,933
ENSMUST00000332634,502
ENSMUST00000246562,2002
ENSMUST00000332631,698
ENSMUST00000332655,518
ENSMUST000000528432,2826
ENSMUST00000171802,2553
ENSMUST00000125294,2003
ENSMUST00000140948,3249
ENSMUST00000118098,2072
ENSMUST00000183059,749
ENSMUST00000175437,87
ENSMUST00000185184,4193
ENSMUST00000097824,2639
ENSMUST00000192299,1374
ENSMUST00000147000,541
ENSMUST00000124874,1313
ENSMUST000000270490,1425
ENSMUST00000130102,941
ENSMUST00000176398,732
ENSMUST00000155163,784
ENSMUST00000134692,656
ENSMUST00000247684,2075
ENSMUST00000239726,104
ENSMUST000000270500,1698
ENSMUST00000190155,877
ENSMUST00000186528,962
ENSMUST00000188619,771
ENSMUST00000139578,2204
ENSMUST00000150509,898
ENSMUST00000191296,666
ENSMUST00000190610,1356
ENSMUST00000191012,345
ENSMUST000000710872,4355
ENSMUST00000143606,3383
ENSMUST00000191360,637
ENSMUST00000117415,1272
ENSMUST00000191521,487
ENSMUST00000118263,2162
ENSMUST00000122156,2535
ENSMUST00000190063,454
ENSMUST00000119714,1268
ENSMUST00000134716,541
ENSMUST00000155974,445
ENSMUST00000186294,3429
ENSMUST00000149214,458
ENSMUST00000190318,5009
ENSMUST00000188249,859
ENSMUST00000153804,825
ENSMUST00000188449,538
ENSMUST00000123261,647
ENSMUST00000185422,336
ENSMUST00000190625,312
ENSMUST00000187226,1074
ENSMUST00000136283,778
ENSMUST00000128164,670
ENSMUST00000136898,436
ENSMUST00000148663,650
ENSMUST00000340420,463
ENSMUST00000340419,398
ENSMUST00000340418,682
ENSMUST00000340417,543
ENSMUST00000340421,572
ENSMUST00000340422,404
ENSMUST00000340423,932
ENSMUST00000194474,920
ENSMUST000000886151,6978
ENSMUST00000187417,568
ENSMUST00000142497,729
ENSMUST00000156563,3526
ENSMUST00000128834,458
ENSMUST00000131556,3424
ENSMUST00000186813,1162
ENSMUST00000186720,810
ENSMUST00020183640,240
ENSMUST00000192111,1722
ENSMUST00000282773,583
ENSMUST00000259056,470
ENSMUST00000153695,1814
ENSMUST00000035577,1932
ENSMUST00000147575,4752
ENSMUST00000140938,624
ENSMUST00000194845,2745
ENSMUST00000300835,614
ENSMUST00000300833,1208
ENSMUST00000300836,649
ENSMUST00000300831,547
ENSMUST00000300832,502
ENSMUST00000300834,775
ENSMUST00000118350,1456
ENSMUST00000240462,107
ENSMUST00000342911,683
ENSMUST00000119252,492
ENSMUST00000192705,1922
ENSMUST00000189483,1242
ENSMUST00000270583,253
ENSMUST00000188013,759
ENSMUST00000297986,834
ENSMUST00000297985,690
ENSMUST00000297987,302
ENSMUST00020182331,91
ENSMUST000000270562,11053
ENSMUST00000190935,3084
ENSMUST00000189822,1517
ENSMUST00000187694,2949
ENSMUST00000188189,726
ENSMUST00000187745,769
ENSMUST00000189385,2449
ENSMUST00000188154,843
ENSMUST00000283874,360
ENSMUST00000284067,446
ENSMUST00000284066,385
ENSMUST00000284065,465
ENSMUST00000104130,128
ENSMUST00000187404,609
ENSMUST00000253383,439
ENSMUST00000253384,768
ENSMUST00000253385,455
ENSMUST00000193623,3039
ENSMUST00000374761,664
ENSMUST00000171690,6158
ENSMUST000000486134,2779
ENSMUST00000150870,658
ENSMUST00000142117,1499
ENSMUST00000141512,1816
ENSMUST00000135014,6451
ENSMUST00000137824,1880
ENSMUST00000179089,1832
ENSMUST00000141339,3566
ENSMUST00000191437,544
ENSMUST00000194502,2471
ENSMUST00000188880,262
ENSMUST00000350682,456
ENSMUST00000350532,616
ENSMUST00000350534,583
ENSMUST00000350533,617
ENSMUST00000195360,2144
ENSMUST00000324410,1381
ENSMUST00000187748,873
ENSMUST00000364888,415
ENSMUST00000364889,351
ENSMUST00000364890,490
ENSMUST00000364891,436
ENSMUST00000364892,595
ENSMUST00000239837,107
ENSMUST00000183490,121
ENSMUST00000378729,739
ENSMUST00000378730,613
ENSMUST00000181461,807
ENSMUST00000182390,687
ENSMUST00000181272,3200
ENSMUST00000263535,785
ENSMUST00000263536,1313
ENSMUST00000263537,664
ENSMUST00000263538,686
ENSMUST00000263539,893
ENSMUST00000263542,640
ENSMUST00000263540,732
ENSMUST00000263541,796
ENSMUST00000263543,755
ENSMUST00000263546,805
ENSMUST00000263545,1056
ENSMUST00000263544,656
ENSMUST00000186962,853
ENSMUST00000263716,498
ENSMUST00000263715,752
ENSMUST00000177608,5598
ENSMUST00000180062,4636
ENSMUST00000186051,4563
ENSMUST00000187376,2746
ENSMUST000000885850,4630
ENSMUST00000189541,366
ENSMUST00000186405,815
ENSMUST00000186674,2581
ENSMUST00000189447,747
ENSMUST00000185780,2682
ENSMUST00000280863,1195
ENSMUST00000188454,8463
ENSMUST00000115403,8509
ENSMUST00000115402,3690
ENSMUST00000136197,5123
ENSMUST00000146763,3437
ENSMUST00000147606,3615
ENSMUST00000133201,660
ENSMUST00000191566,3288
ENSMUST00000191708,551
ENSMUST00000367349,1071
ENSMUST00000367350,633
ENSMUST00000367352,575
ENSMUST00000367351,818
ENSMUST00000367355,369
ENSMUST00000367354,644
ENSMUST00000367353,421
ENSMUST00000367356,503
ENSMUST00000367357,947
ENSMUST000000590650,321
ENSMUST00000367631,397
ENSMUST00000187394,288
ENSMUST00000367635,783
ENSMUST00000367636,262
ENSMUST00000367632,517
ENSMUST00000367630,528
ENSMUST00000367633,545
ENSMUST00000367634,582
ENSMUST00000047577,2564
ENSMUST000000817131,8171
ENSMUST000000683043,8006
ENSMUST000000060373,4897
ENSMUST00000185275,1330
ENSMUST00000146784,557
ENSMUST00000133232,594
ENSMUST00000147927,3429
ENSMUST00000143603,3804
ENSMUST00000139970,2944
ENSMUST00000124088,2836
ENSMUST00000145280,423
ENSMUST00000195493,2253
ENSMUST00000195811,1626
ENSMUST00020183103,82
ENSMUST00000194484,695
ENSMUST00000194357,1872
ENSMUST00000324283,685
ENSMUST00000324284,336
ENSMUST00000157157,112
ENSMUST00000195506,4642
ENSMUST00000195718,2248
ENSMUST00000324430,951
ENSMUST00000324429,1511
ENSMUST00000324135,455
ENSMUST00000324133,740
ENSMUST00000324134,418
ENSMUST00000185813,681
ENSMUST00000324961,490
ENSMUST00000253019,475
ENSMUST00000253018,452
ENSMUST00000253020,493
ENSMUST00000253017,446
ENSMUST00000253021,606
ENSMUST00000253022,408
ENSMUST00000187246,644
ENSMUST00000273893,758
ENSMUST000000270681,2938
ENSMUST00000185447,594
ENSMUST00000188377,498
ENSMUST00000305046,541
ENSMUST00000305047,472
ENSMUST00000246625,425
ENSMUST00000305048,379
ENSMUST00000305204,387
ENSMUST00000027071,4494
ENSMUST00000156222,400
ENSMUST00000194537,1266
ENSMUST00000088542,1926
ENSMUST00000104180,131
ENSMUST00000180415,997
ENSMUST00000323375,688
ENSMUST00000323372,624
ENSMUST00000323392,978
ENSMUST00000323374,722
ENSMUST00000323378,788
ENSMUST00000323373,616
ENSMUST00000323376,979
ENSMUST00000323370,450
ENSMUST00000323380,612
ENSMUST00000323377,639
ENSMUST00000323390,382
ENSMUST00000323383,447
ENSMUST00000323381,722
ENSMUST00000323389,347
ENSMUST00000323391,742
ENSMUST00000323379,649
ENSMUST00000323369,1552
ENSMUST00000323382,734
ENSMUST00000323371,797
ENSMUST00000323384,594
ENSMUST00000323385,564
ENSMUST00000323387,508
ENSMUST00000323388,792
ENSMUST00000323386,444
ENSMUST00000194709,2249
ENSMUST00020183707,308
ENSMUST00000193148,3605
ENSMUST000000270663,4347
ENSMUST00000168081,4366
ENSMUST000000806644,3426
ENSMUST00000190337,2199
ENSMUST00000189526,430
ENSMUST00000188857,725
ENSMUST00000185453,664
ENSMUST00000187790,664
ENSMUST00000185329,3677
ENSMUST00020182033,100
ENSMUST00000193605,439
ENSMUST00000281258,222
ENSMUST00000281255,383
ENSMUST00000281254,479
ENSMUST00000281249,670
ENSMUST00000281250,813
ENSMUST00000281256,508
ENSMUST00000281248,522
ENSMUST00000281252,1242
ENSMUST00000281253,551
ENSMUST00000281257,770
ENSMUST00000281251,629
ENSMUST00000280793,861
ENSMUST00000280796,477
ENSMUST00000280806,725
ENSMUST00000280802,469
ENSMUST00000280801,516
ENSMUST00000280800,383
ENSMUST00000280798,448
ENSMUST00000280797,590
ENSMUST00000280799,511
ENSMUST00000280807,603
ENSMUST00000280805,519
ENSMUST00000280804,550
ENSMUST00000280803,434
ENSMUST00000280795,425
ENSMUST00000280794,520
ENSMUST00000280808,742
ENSMUST00000280811,444
ENSMUST00000280810,330
ENSMUST00000280812,285
ENSMUST00000280809,1085
ENSMUST00000361116,617
ENSMUST00000361117,470
ENSMUST00000359671,651
ENSMUST00000359673,466
ENSMUST00000359672,486
ENSMUST00000324699,563
ENSMUST00000187401,687
ENSMUST00000269389,1228
ENSMUST00000067599,2920
ENSMUST00000269388,1075
ENSMUST00000269391,1988
ENSMUST00000269380,1482
ENSMUST00000269392,1212
ENSMUST00000269382,546
ENSMUST00000269381,695
ENSMUST00000269383,500
ENSMUST00000269390,969
ENSMUST00000269384,622
ENSMUST00000269385,602
ENSMUST00000269386,615
ENSMUST00000269387,415
ENSMUST00000269393,424
ENSMUST00000027062,1741
ENSMUST00000190719,741
ENSMUST00000188982,731
ENSMUST00000190471,1226
ENSMUST00000194866,4321
ENSMUST00000121569,288
ENSMUST00000121367,894
ENSMUST00000041447,4263
ENSMUST00000235071,3288
ENSMUST00000157534,120
ENSMUST00000270350,639
ENSMUST00000270351,568
ENSMUST00000270354,413
ENSMUST00000270355,566
ENSMUST00000270349,576
ENSMUST00000270352,717
ENSMUST00000270357,537
ENSMUST00000270356,387
ENSMUST00000270353,743
ENSMUST00000086739,996
ENSMUST00000175681,3963
ENSMUST00000170146,14845
ENSMUST00000286326,330
ENSMUST00000193873,1533
ENSMUST00000194564,2089
ENSMUST00000344390,492
ENSMUST00000344389,547
ENSMUST00000344391,1031
ENSMUST00000158204,112
ENSMUST00000313595,389
ENSMUST00000313594,369
ENSMUST00000313593,449
ENSMUST00000313596,312
ENSMUST00000104189,132
ENSMUST00000188671,251
ENSMUST00000188400,100
ENSMUST00000313788,618
ENSMUST00000313789,1229
ENSMUST00000313797,735
ENSMUST00000313790,1437
ENSMUST00000313791,1195
ENSMUST00000313793,771
ENSMUST00000313792,1198
ENSMUST00000313798,779
ENSMUST00000313799,441
ENSMUST00000313794,830
ENSMUST00000313796,1290
ENSMUST00000313795,1113
ENSMUST00000314040,544
ENSMUST00000188371,2268
ENSMUST00000186565,968
ENSMUST00000027057,1581
ENSMUST00000188684,2908
ENSMUST00000194867,3169
ENSMUST00000040695,2748
ENSMUST00020183461,303
ENSMUST00000343820,457
ENSMUST00000343821,464
ENSMUST00000185778,553
ENSMUST00000115367,868
ENSMUST00000145070,1844
ENSMUST00000151004,1001
ENSMUST00000337338,669
ENSMUST00000337337,806
ENSMUST00000337339,599
ENSMUST00000140597,421
ENSMUST000000584374,1163
ENSMUST00000141217,1597
ENSMUST00000151017,1229
ENSMUST00000149566,838
ENSMUST00000125005,784
ENSMUST00000027053,3587
ENSMUST00000152626,1959
ENSMUST00000310863,643
ENSMUST00000192560,2321
ENSMUST00000186343,1515
ENSMUST00000162751,3030
ENSMUST000000546683,2907
ENSMUST00000162627,2773
ENSMUST000000270523,2763
ENSMUST00000162435,2735
ENSMUST00000159558,3901
ENSMUST00000128957,3907
ENSMUST00000131257,3616
ENSMUST00000115360,2198
ENSMUST00000162007,2964
ENSMUST00000127420,3081
ENSMUST00000149320,2214
ENSMUST00000151888,369
ENSMUST00000153966,455
ENSMUST000001153590,1151
ENSMUST00000145092,564
ENSMUST00000144138,585
ENSMUST00000370253,434
ENSMUST00000370242,1061
ENSMUST00000370243,858
ENSMUST00000370254,256
ENSMUST00000370245,738
ENSMUST00000370246,701
ENSMUST00000159190,296
ENSMUST00000370240,377
ENSMUST00000161626,431
ENSMUST00000370255,322
ENSMUST00000370256,271
ENSMUST00000370248,767
ENSMUST00000370249,564
ENSMUST00000370250,1076
ENSMUST00000370241,419
ENSMUST00000370244,897
ENSMUST00000160446,709
ENSMUST00000370251,759
ENSMUST00000370252,415
ENSMUST00000370247,967
ENSMUST00000182554,1508
ENSMUST00000182080,411
ENSMUST00000117146,2181
ENSMUST00000133639,493
ENSMUST00000136455,1517
ENSMUST00000132919,423
ENSMUST00000195710,2980
ENSMUST00000188641,2014
ENSMUST000001153520,960
ENSMUST00000186948,641
ENSMUST00000187910,620
ENSMUST00000185771,742
ENSMUST00000185393,366
ENSMUST00000186701,534
ENSMUST00000188987,350
ENSMUST00000186541,410
ENSMUST00000190986,384
ENSMUST00000191535,323
ENSMUST00000370522,471
ENSMUST00000370510,747
ENSMUST00000370511,652
ENSMUST00000370512,618
ENSMUST00000370513,312
ENSMUST00000370514,438
ENSMUST00000370515,760
ENSMUST00000370516,787
ENSMUST00000370517,790
ENSMUST00000370518,797
ENSMUST00000181371,2788
ENSMUST00000370519,725
ENSMUST00000370520,303
ENSMUST00000370521,375
