transcript_id,gene_id
ENSMUST00000308384.1,ENSMUSG00000104328.3
ENSMUST00000308386.1,ENSMUSG00000104328.3
ENSMUST00000308387.1,ENSMUSG00000104328.3
ENSMUST00000308388.1,ENSMUSG00000104328.3
ENSMUST00000308390.1,ENSMUSG00000104328.3
ENSMUST00000308389.1,ENSMUSG00000104328.3
ENSMUST00000308391.1,ENSMUSG00000104328.3
ENSMUST00000308380.1,ENSMUSG00000104328.3
ENSMUST00000308379.1,ENSMUSG00000104328.3
ENSMUST00000308377.1,ENSMUSG00000104328.3
ENSMUST00000308376.1,ENSMUSG00000104328.3
ENSMUST00000308395.1,ENSMUSG00000104328.3
ENSMUST00000308394.1,ENSMUSG00000104328.3
ENSMUST00000308392.1,ENSMUSG00000104328.3
ENSMUST00000308396.1,ENSMUSG00000104328.3
ENSMUST00000308397.1,ENSMUSG00000104328.3
ENSMUST00000308398.1,ENSMUSG00000104328.3
ENSMUST00000308399.1,ENSMUSG00000104328.3
ENSMUST00000308393.1,ENSMUSG00000104328.3
ENSMUST00000308401.1,ENSMUSG00000104328.3
ENSMUST00000308650.1,ENSMUSG00000131850.1
ENSMUST00000308652.1,ENSMUSG00000131850.1
ENSMUST00000308653.1,ENSMUSG00000131850.1
ENSMUST00000308651.1,ENSMUSG00000131850.1
ENSMUST00000308668.1,ENSMUSG00000131850.1
ENSMUST00000308654.1,ENSMUSG00000131850.1
ENSMUST00000308655.1,ENSMUSG00000131850.1
ENSMUST00000308656.1,ENSMUSG00000131850.1
ENSMUST00000308657.1,ENSMUSG00000131850.1
ENSMUST00000308658.1,ENSMUSG00000131850.1
ENSMUST00000308659.1,ENSMUSG00000131850.1
ENSMUST00000308660.1,ENSMUSG00000131850.1
ENSMUST00000308666.1,ENSMUSG00000131850.1
ENSMUST00000308667.1,ENSMUSG00000131850.1
ENSMUST00000308661.1,ENSMUSG00000131850.1
ENSMUST00000308662.1,ENSMUSG00000131850.1
ENSMUST00000308663.1,ENSMUSG00000131850.1
ENSMUST00000308669.1,ENSMUSG00000131850.1
ENSMUST00000308664.1,ENSMUSG00000131850.1
ENSMUST00000308665.1,ENSMUSG00000131850.1
ENSMUST00000308670.1,ENSMUSG00000131850.1
ENSMUST00000308671.1,ENSMUSG00000131850.1
ENSMUST00000192738.2,ENSMUSG00000102735.2
ENSMUST00000182774.2,ENSMUSG00000098104.2
ENSMUST00000193443.2,ENSMUSG00000102175.2
ENSMUST00000333126.1,ENSMUSG00000135930.1
ENSMUST00000333130.1,ENSMUSG00000135930.1
ENSMUST00000333132.1,ENSMUSG00000135930.1
ENSMUST00000333127.1,ENSMUSG00000135930.1
ENSMUST00000333129.1,ENSMUSG00000135930.1
ENSMUST00000333128.1,ENSMUSG00000135930.1
ENSMUST00000333131.1,ENSMUSG00000135930.1
ENSMUST00020182286.1,ENSMUSG00002075947.1
ENSMUST00000195671.2,ENSMUSG00000103265.2
ENSMUST00000193658.2,ENSMUSG00000103922.2
ENSMUST00000130201.8,ENSMUSG00000033845.14
ENSMUST00000156816.7,ENSMUSG00000033845.14
ENSMUST00000045689.14,ENSMUSG00000033845.14
ENSMUST00000115538.5,ENSMUSG00000033845.14
ENSMUST00000192286.2,ENSMUSG00000033845.14
ENSMUST00000146665.3,ENSMUSG00000033845.14
ENSMUST00000132625.2,ENSMUSG00000033845.14
ENSMUST00000195445.2,ENSMUSG00000102275.2
ENSMUST00000243104.2,ENSMUSG00000120403.2
ENSMUST00000333289.1,ENSMUSG00000120403.2
ENSMUST00000333426.1,ENSMUSG00000136002.1
ENSMUST00000134384.8,ENSMUSG00000025903.15
ENSMUST00000027036.11,ENSMUSG00000025903.15
ENSMUST00000150971.8,ENSMUSG00000025903.15
ENSMUST00000119612.9,ENSMUSG00000025903.15
ENSMUST00000137887.8,ENSMUSG00000025903.15
ENSMUST00000115529.8,ENSMUSG00000025903.15
ENSMUST00000131119.2,ENSMUSG00000025903.15
ENSMUST00000141278.2,ENSMUSG00000025903.15
ENSMUST00000155020.2,ENSMUSG00000104217.2
ENSMUST00000344169.1,ENSMUSG00000137875.1
ENSMUST00000081551.14,ENSMUSG00000033813.16
ENSMUST00000165720.3,ENSMUSG00000033813.16
ENSMUST00000078030.5,ENSMUSG00000062588.5
ENSMUST00000194052.2,ENSMUSG00000103280.2
ENSMUST00000002533.15,ENSMUSG00000002459.18
ENSMUST00000118000.8,ENSMUSG00000002459.18
ENSMUST00000119256.8,ENSMUSG00000002459.18
ENSMUST00000170566.2,ENSMUSG00000002459.18
ENSMUST00000147158.2,ENSMUSG00000002459.18
ENSMUST00000156289.2,ENSMUSG00000002459.18
ENSMUST00000133521.2,ENSMUSG00000002459.18
ENSMUST00000168963.2,ENSMUSG00000091305.2
ENSMUST00000194114.2,ENSMUSG00000102653.2
ENSMUST00000144339.2,ENSMUSG00000085623.2
ENSMUST00000169520.2,ENSMUSG00000091665.2
ENSMUST00000192847.6,ENSMUSG00000033793.13
ENSMUST00000044369.13,ENSMUSG00000033793.13
ENSMUST00000194676.6,ENSMUSG00000033793.13
ENSMUST00000194301.6,ENSMUSG00000033793.13
ENSMUST00000194978.6,ENSMUSG00000033793.13
ENSMUST00000192029.6,ENSMUSG00000033793.13
ENSMUST00000192698.3,ENSMUSG00000033793.13
ENSMUST00000192142.2,ENSMUSG00000033793.13
ENSMUST00000375191.1,ENSMUSG00000143188.1
ENSMUST00000375190.1,ENSMUSG00000143188.1
ENSMUST00000193351.2,ENSMUSG00000104352.2
ENSMUST00000376320.1,ENSMUSG00000143351.1
ENSMUST00000193241.2,ENSMUSG00000104046.2
ENSMUST00000194850.2,ENSMUSG00000102907.2
ENSMUST00000192685.2,ENSMUSG00000025905.15
ENSMUST00000160777.8,ENSMUSG00000025905.15
ENSMUST00000239100.2,ENSMUSG00000025905.15
ENSMUST00000027038.11,ENSMUSG00000025905.15
ENSMUST00000160339.2,ENSMUSG00000025905.15
ENSMUST00000159083.2,ENSMUSG00000025905.15
ENSMUST00000193797.2,ENSMUSG00000103936.2
ENSMUST00020183055.1,ENSMUSG00002076544.1
ENSMUST00000193807.2,ENSMUSG00000103519.2
ENSMUST00000044180.5,ENSMUSG00000033774.5
ENSMUST00000191956.2,ENSMUSG00000103090.2
ENSMUST00000247217.1,ENSMUSG00000090031.5
ENSMUST00000191825.2,ENSMUSG00000090031.5
ENSMUST00000159618.3,ENSMUSG00000090031.5
ENSMUST00000298744.1,ENSMUSG00000090031.5
ENSMUST00000097832.2,ENSMUSG00000090031.5
ENSMUST00000159906.8,ENSMUSG00000025907.15
ENSMUST00000160871.8,ENSMUSG00000025907.15
ENSMUST00000027040.13,ENSMUSG00000025907.15
ENSMUST00000162210.8,ENSMUSG00000025907.15
ENSMUST00000160062.8,ENSMUSG00000025907.15
ENSMUST00000162795.8,ENSMUSG00000025907.15
ENSMUST00000161327.8,ENSMUSG00000025907.15
ENSMUST00000159802.2,ENSMUSG00000025907.15
ENSMUST00000162257.8,ENSMUSG00000025907.15
ENSMUST00000159206.2,ENSMUSG00000025907.15
ENSMUST00000159661.8,ENSMUSG00000025907.15
ENSMUST00000161183.2,ENSMUSG00000025907.15
ENSMUST00000159349.2,ENSMUSG00000025907.15
ENSMUST00000159530.2,ENSMUSG00000025907.15
ENSMUST00000162418.2,ENSMUSG00000025907.15
ENSMUST00000159656.2,ENSMUSG00000025907.15
ENSMUST00000133144.4,ENSMUSG00000087247.4
ENSMUST00000380206.1,ENSMUSG00000143943.1
ENSMUST00000380208.1,ENSMUSG00000143943.1
ENSMUST00000380207.1,ENSMUSG00000143943.1
ENSMUST00000380209.1,ENSMUSG00000143943.1
ENSMUST00000380210.1,ENSMUSG00000143943.1
ENSMUST00000193588.2,ENSMUSG00000103355.2
ENSMUST00000192950.2,ENSMUSG00000102706.2
ENSMUST00000363951.1,ENSMUSG00000141243.1
ENSMUST00000363950.1,ENSMUSG00000141243.1
ENSMUST00000194240.2,ENSMUSG00000103845.2
ENSMUST00000140079.8,ENSMUSG00000033740.18
ENSMUST00000131494.8,ENSMUSG00000033740.18
ENSMUST00000043578.13,ENSMUSG00000033740.18
ENSMUST00000139756.8,ENSMUSG00000033740.18
ENSMUST00000131467.8,ENSMUSG00000033740.18
ENSMUST00000150761.8,ENSMUSG00000033740.18
ENSMUST00000151281.8,ENSMUSG00000033740.18
ENSMUST00000139838.8,ENSMUSG00000033740.18
ENSMUST00000163727.4,ENSMUSG00000033740.18
ENSMUST00000132207.2,ENSMUSG00000033740.18
ENSMUST00000142304.2,ENSMUSG00000033740.18
ENSMUST00000151015.2,ENSMUSG00000033740.18
ENSMUST00000130338.2,ENSMUSG00000033740.18
ENSMUST00000195780.3,ENSMUSG00000103329.3
ENSMUST00000194393.2,ENSMUSG00000104385.2
ENSMUST00000194605.2,ENSMUSG00000102135.2
ENSMUST00000191703.2,ENSMUSG00000103282.2
ENSMUST00000193423.2,ENSMUSG00000102534.2
ENSMUST00000191883.2,ENSMUSG00000102213.2
ENSMUST00000195648.2,ENSMUSG00000103629.2
ENSMUST00000242836.2,ENSMUSG00000120372.2
ENSMUST00000061280.17,ENSMUSG00000051285.18
ENSMUST00000182114.8,ENSMUSG00000051285.18
ENSMUST00000182306.2,ENSMUSG00000051285.18
ENSMUST00000182823.2,ENSMUSG00000051285.18
ENSMUST00000182675.8,ENSMUSG00000051285.18
ENSMUST00000182388.8,ENSMUSG00000051285.18
ENSMUST00000182892.8,ENSMUSG00000051285.18
ENSMUST00000183204.2,ENSMUSG00000051285.18
ENSMUST00000345485.1,ENSMUSG00000138092.1
ENSMUST00000182051.2,ENSMUSG00000098201.2
ENSMUST00000194854.2,ENSMUSG00000103509.2
ENSMUST00000276481.1,ENSMUSG00000126455.1
ENSMUST00000029124.8,ENSMUSG00000048538.8
ENSMUST00000195269.2,ENSMUSG00000103709.2
ENSMUST00000276695.1,ENSMUSG00000126493.1
ENSMUST00000381837.1,ENSMUSG00000144281.1
ENSMUST00000104056.3,ENSMUSG00000077244.3
ENSMUST00000264292.1,ENSMUSG00000097797.8
ENSMUST00000264293.1,ENSMUSG00000097797.8
ENSMUST00000264299.1,ENSMUSG00000097797.8
ENSMUST00000264294.1,ENSMUSG00000097797.8
ENSMUST00000264295.1,ENSMUSG00000097797.8
ENSMUST00000264298.1,ENSMUSG00000097797.8
ENSMUST00000264297.1,ENSMUSG00000097797.8
ENSMUST00000264296.1,ENSMUSG00000097797.8
ENSMUST00000264300.1,ENSMUSG00000097797.8
ENSMUST00000181554.3,ENSMUSG00000097797.8
ENSMUST00000264301.1,ENSMUSG00000097797.8
ENSMUST00000264303.1,ENSMUSG00000097797.8
ENSMUST00000264302.1,ENSMUSG00000097797.8
ENSMUST00000264308.1,ENSMUSG00000097797.8
ENSMUST00000264307.1,ENSMUSG00000097797.8
ENSMUST00000193106.7,ENSMUSG00000097797.8
ENSMUST00000264304.1,ENSMUSG00000097797.8
ENSMUST00000264319.1,ENSMUSG00000097797.8
ENSMUST00000264317.1,ENSMUSG00000097797.8
ENSMUST00000264318.1,ENSMUSG00000097797.8
ENSMUST00000264316.1,ENSMUSG00000097797.8
ENSMUST00000264315.1,ENSMUSG00000097797.8
ENSMUST00000264314.1,ENSMUSG00000097797.8
ENSMUST00000264313.1,ENSMUSG00000097797.8
ENSMUST00000264309.1,ENSMUSG00000097797.8
ENSMUST00000264310.1,ENSMUSG00000097797.8
ENSMUST00000264311.1,ENSMUSG00000097797.8
ENSMUST00000264312.1,ENSMUSG00000097797.8
ENSMUST00000264305.1,ENSMUSG00000097797.8
ENSMUST00000264306.1,ENSMUSG00000097797.8
ENSMUST00000193732.2,ENSMUSG00000097797.8
ENSMUST00000193428.3,ENSMUSG00000097797.8
ENSMUST00000264320.1,ENSMUSG00000097797.8
ENSMUST00000264321.1,ENSMUSG00000097797.8
ENSMUST00000264322.1,ENSMUSG00000097797.8
ENSMUST00000264323.1,ENSMUSG00000097797.8
ENSMUST00000264324.1,ENSMUSG00000097797.8
ENSMUST00000264325.1,ENSMUSG00000097797.8
ENSMUST00000192649.2,ENSMUSG00000102768.2
ENSMUST00000193998.2,ENSMUSG00000103498.2
ENSMUST00000194886.2,ENSMUSG00000103067.2
ENSMUST00000195081.2,ENSMUSG00000102320.2
ENSMUST00000194219.2,ENSMUSG00000104226.2
ENSMUST00000194305.2,ENSMUSG00000103903.2
ENSMUST00000194872.2,ENSMUSG00000103557.2
ENSMUST00000313004.1,ENSMUSG00000132588.1
ENSMUST00000313001.1,ENSMUSG00000132588.1
ENSMUST00000313002.1,ENSMUSG00000132588.1
ENSMUST00000313003.1,ENSMUSG00000132588.1
ENSMUST00000331959.1,ENSMUSG00000135709.1
ENSMUST00000332049.1,ENSMUSG00000135722.1
ENSMUST00000132064.8,ENSMUSG00000025909.17
ENSMUST00000191683.6,ENSMUSG00000025909.17
ENSMUST00000140295.8,ENSMUSG00000025909.17
ENSMUST00000140302.8,ENSMUSG00000025909.17
ENSMUST00000115484.9,ENSMUSG00000025909.17
ENSMUST00000135046.4,ENSMUSG00000025909.17
ENSMUST00000115488.3,ENSMUSG00000025909.17
ENSMUST00000144593.8,ENSMUSG00000025909.17
ENSMUST00000134075.8,ENSMUSG00000025909.17
ENSMUST00000194098.2,ENSMUSG00000025909.17
ENSMUST00000126083.2,ENSMUSG00000025909.17
ENSMUST00000192338.2,ENSMUSG00000102647.2
ENSMUST00000140995.2,ENSMUSG00000086235.2
ENSMUST00000258924.1,ENSMUSG00000123533.1
ENSMUST00000194602.2,ENSMUSG00000102253.2
ENSMUST00020182074.1,ENSMUSG00002074990.1
ENSMUST00000193281.2,ENSMUSG00000103884.2
ENSMUST00000119877.2,ENSMUSG00000084353.2
ENSMUST00000191876.2,ENSMUSG00000103933.2
ENSMUST00020182635.1,ENSMUSG00002075967.1
ENSMUST00000151704.2,ENSMUSG00000086195.2
ENSMUST00000192115.2,ENSMUSG00000104504.2
ENSMUST00000258609.1,ENSMUSG00000123491.1
ENSMUST00000258610.1,ENSMUSG00000123491.1
ENSMUST00000085919.3,ENSMUSG00000066693.3
ENSMUST00000193635.2,ENSMUSG00000102316.2
ENSMUST00000195333.2,ENSMUSG00000103819.2
ENSMUST00000195180.2,ENSMUSG00000102871.2
ENSMUST00000040649.7,ENSMUSG00000101571.3
ENSMUST00000332389.1,ENSMUSG00000135814.1
ENSMUST00000332387.1,ENSMUSG00000135814.1
ENSMUST00000332388.1,ENSMUSG00000135814.1
ENSMUST00000332390.1,ENSMUSG00000135814.1
ENSMUST00000192026.2,ENSMUSG00000104428.2
ENSMUST00000195217.2,ENSMUSG00000102272.2
ENSMUST00000083691.3,ENSMUSG00000065625.3
ENSMUST00000290000.1,ENSMUSG00000079671.11
ENSMUST00000290001.1,ENSMUSG00000079671.11
ENSMUST00000290005.1,ENSMUSG00000079671.11
ENSMUST00000290004.1,ENSMUSG00000079671.11
ENSMUST00000290003.1,ENSMUSG00000079671.11
ENSMUST00000290002.1,ENSMUSG00000079671.11
ENSMUST00000289995.1,ENSMUSG00000079671.11
ENSMUST00000290014.1,ENSMUSG00000079671.11
ENSMUST00000290013.1,ENSMUSG00000079671.11
ENSMUST00000290012.1,ENSMUSG00000079671.11
ENSMUST00000290020.1,ENSMUSG00000079671.11
ENSMUST00000290017.1,ENSMUSG00000079671.11
ENSMUST00000290021.1,ENSMUSG00000079671.11
ENSMUST00000290019.1,ENSMUSG00000079671.11
ENSMUST00000290018.1,ENSMUSG00000079671.11
ENSMUST00000290022.1,ENSMUSG00000079671.11
ENSMUST00000115480.10,ENSMUSG00000079671.11
ENSMUST00000289996.1,ENSMUSG00000079671.11
ENSMUST00000290016.1,ENSMUSG00000079671.11
ENSMUST00000145176.9,ENSMUSG00000079671.11
ENSMUST00000289998.1,ENSMUSG00000079671.11
ENSMUST00000289997.1,ENSMUSG00000079671.11
ENSMUST00000289999.1,ENSMUSG00000079671.11
ENSMUST00000148585.8,ENSMUSG00000079671.11
ENSMUST00000153239.10,ENSMUSG00000079671.11
ENSMUST00000290011.1,ENSMUSG00000079671.11
ENSMUST00000290010.1,ENSMUSG00000079671.11
ENSMUST00000290007.1,ENSMUSG00000079671.11
ENSMUST00000290006.1,ENSMUSG00000079671.11
ENSMUST00000290009.1,ENSMUSG00000079671.11
ENSMUST00000290008.1,ENSMUSG00000079671.11
ENSMUST00000148310.3,ENSMUSG00000079671.11
ENSMUST00000290015.1,ENSMUSG00000079671.11
ENSMUST00000192792.2,ENSMUSG00000103411.2
ENSMUST00000072079.9,ENSMUSG00000061024.9
ENSMUST00000144177.8,ENSMUSG00000025911.15
ENSMUST00000027044.15,ENSMUSG00000025911.15
ENSMUST00000130927.8,ENSMUSG00000025911.15
ENSMUST00000186467.2,ENSMUSG00000025911.15
ENSMUST00000190654.2,ENSMUSG00000025911.15
ENSMUST00000121942.2,ENSMUSG00000081441.4
ENSMUST00000088666.4,ENSMUSG00000067879.4
ENSMUST00000191209.2,ENSMUSG00000099827.2
ENSMUST00000088658.11,ENSMUSG00000025912.17
ENSMUST00000115468.9,ENSMUSG00000025912.17
ENSMUST00000160022.2,ENSMUSG00000025912.17
ENSMUST00000160451.2,ENSMUSG00000025912.17
ENSMUST00000188212.2,ENSMUSG00000025912.17
ENSMUST00000257005.1,ENSMUSG00000123215.1
ENSMUST00000257006.1,ENSMUSG00000123215.1
ENSMUST00000057438.7,ENSMUSG00000045210.9
ENSMUST00000191287.8,ENSMUSG00000097893.11
ENSMUST00000181821.8,ENSMUSG00000097893.11
ENSMUST00000289704.1,ENSMUSG00000097893.11
ENSMUST00000289705.1,ENSMUSG00000097893.11
ENSMUST00000181358.8,ENSMUSG00000097893.11
ENSMUST00000289706.1,ENSMUSG00000097893.11
ENSMUST00000289753.1,ENSMUSG00000097893.11
ENSMUST00000289716.1,ENSMUSG00000097893.11
ENSMUST00000289718.1,ENSMUSG00000097893.11
ENSMUST00000289717.1,ENSMUSG00000097893.11
ENSMUST00000289713.1,ENSMUSG00000097893.11
ENSMUST00000289688.1,ENSMUSG00000097893.11
ENSMUST00000289720.1,ENSMUSG00000097893.11
ENSMUST00000289694.1,ENSMUSG00000097893.11
ENSMUST00000289721.1,ENSMUSG00000097893.11
ENSMUST00000209020.3,ENSMUSG00000097893.11
ENSMUST00000289695.1,ENSMUSG00000097893.11
ENSMUST00000289723.1,ENSMUSG00000097893.11
ENSMUST00000289696.1,ENSMUSG00000097893.11
ENSMUST00000289726.1,ENSMUSG00000097893.11
ENSMUST00000289725.1,ENSMUSG00000097893.11
ENSMUST00000289722.1,ENSMUSG00000097893.11
ENSMUST00000289689.1,ENSMUSG00000097893.11
ENSMUST00000289724.1,ENSMUSG00000097893.11
ENSMUST00000289697.1,ENSMUSG00000097893.11
ENSMUST00000289701.1,ENSMUSG00000097893.11
ENSMUST00000289707.1,ENSMUSG00000097893.11
ENSMUST00000289702.1,ENSMUSG00000097893.11
ENSMUST00000289703.1,ENSMUSG00000097893.11
ENSMUST00000289727.1,ENSMUSG00000097893.11
ENSMUST00000289709.1,ENSMUSG00000097893.11
ENSMUST00000289690.1,ENSMUSG00000097893.11
ENSMUST00000289751.1,ENSMUSG00000097893.11
ENSMUST00000289728.1,ENSMUSG00000097893.11
ENSMUST00000289698.1,ENSMUSG00000097893.11
ENSMUST00000189431.3,ENSMUSG00000097893.11
ENSMUST00000289710.1,ENSMUSG00000097893.11
ENSMUST00000207445.3,ENSMUSG00000097893.11
ENSMUST00000289730.1,ENSMUSG00000097893.11
ENSMUST00000289729.1,ENSMUSG00000097893.11
ENSMUST00000289708.1,ENSMUSG00000097893.11
ENSMUST00000289692.1,ENSMUSG00000097893.11
ENSMUST00000289691.1,ENSMUSG00000097893.11
ENSMUST00000289733.1,ENSMUSG00000097893.11
ENSMUST00000289731.1,ENSMUSG00000097893.11
ENSMUST00000289732.1,ENSMUSG00000097893.11
ENSMUST00000289711.1,ENSMUSG00000097893.11
ENSMUST00000289761.1,ENSMUSG00000097893.11
ENSMUST00000289752.1,ENSMUSG00000097893.11
ENSMUST00000289735.1,ENSMUSG00000097893.11
ENSMUST00000289734.1,ENSMUSG00000097893.11
ENSMUST00000289736.1,ENSMUSG00000097893.11
ENSMUST00000289714.1,ENSMUSG00000097893.11
ENSMUST00000289712.1,ENSMUSG00000097893.11
ENSMUST00000289737.1,ENSMUSG00000097893.11
ENSMUST00000289719.1,ENSMUSG00000097893.11
ENSMUST00000289739.1,ENSMUSG00000097893.11
ENSMUST00000289738.1,ENSMUSG00000097893.11
ENSMUST00000289699.1,ENSMUSG00000097893.11
ENSMUST00000289742.1,ENSMUSG00000097893.11
ENSMUST00000289743.1,ENSMUSG00000097893.11
ENSMUST00000289744.1,ENSMUSG00000097893.11
ENSMUST00000289741.1,ENSMUSG00000097893.11
ENSMUST00000289715.1,ENSMUSG00000097893.11
ENSMUST00000289745.1,ENSMUSG00000097893.11
ENSMUST00000289746.1,ENSMUSG00000097893.11
ENSMUST00000289747.1,ENSMUSG00000097893.11
ENSMUST00000289740.1,ENSMUSG00000097893.11
ENSMUST00000289700.1,ENSMUSG00000097893.11
ENSMUST00000289748.1,ENSMUSG00000097893.11
ENSMUST00000289749.1,ENSMUSG00000097893.11
ENSMUST00000289750.1,ENSMUSG00000097893.11
ENSMUST00000289759.1,ENSMUSG00000097893.11
ENSMUST00000289760.1,ENSMUSG00000097893.11
ENSMUST00000289756.1,ENSMUSG00000097893.11
ENSMUST00000289767.1,ENSMUSG00000097893.11
ENSMUST00000289757.1,ENSMUSG00000097893.11
ENSMUST00000289693.1,ENSMUSG00000097893.11
ENSMUST00000289765.1,ENSMUSG00000097893.11
ENSMUST00000289764.1,ENSMUSG00000097893.11
ENSMUST00000289766.1,ENSMUSG00000097893.11
ENSMUST00000189322.4,ENSMUSG00000097893.11
ENSMUST00000246007.2,ENSMUSG00000097893.11
ENSMUST00000289754.1,ENSMUSG00000097893.11
ENSMUST00000289755.1,ENSMUSG00000097893.11
ENSMUST00000289758.1,ENSMUSG00000097893.11
ENSMUST00000289762.1,ENSMUSG00000097893.11
ENSMUST00000289763.1,ENSMUSG00000097893.11
ENSMUST00000290045.1,ENSMUSG00000128816.1
ENSMUST00000290046.1,ENSMUSG00000128816.1
ENSMUST00000166384.8,ENSMUSG00000025915.15
ENSMUST00000188782.7,ENSMUSG00000025915.15
ENSMUST00000168907.8,ENSMUSG00000025915.15
ENSMUST00000188625.2,ENSMUSG00000025915.15
ENSMUST00000188738.7,ENSMUSG00000025915.15
ENSMUST00000188298.7,ENSMUSG00000025915.15
ENSMUST00000171265.8,ENSMUSG00000025915.15
ENSMUST00000188830.7,ENSMUSG00000025915.15
ENSMUST00000189050.2,ENSMUSG00000025915.15
ENSMUST00000097826.6,ENSMUSG00000025915.15
ENSMUST00000191338.2,ENSMUSG00000025915.15
ENSMUST00000188486.2,ENSMUSG00000025915.15
ENSMUST00000063059.5,ENSMUSG00000046334.5
ENSMUST00020183231.1,ENSMUSG00002075801.1
ENSMUST00000247721.1,ENSMUSG00000098234.10
ENSMUST00000332627.1,ENSMUSG00000098234.10
ENSMUST00000332628.1,ENSMUSG00000098234.10
ENSMUST00000241346.2,ENSMUSG00000098234.10
ENSMUST00000242700.2,ENSMUSG00000098234.10
ENSMUST00000182742.4,ENSMUSG00000098234.10
ENSMUST00000182580.10,ENSMUSG00000098234.10
ENSMUST00000182498.10,ENSMUSG00000098234.10
